,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,TOTAL_SCORE,AVG_SCORE,CLASS
2875,4,3,4,2,2,2,2,5,24,3.0,0
2625,4,3,4,3,3,3,3,5,28,3.5,1
957,5,4,5,5,5,4,4,5,37,4.625,1
350,5,4,4,4,4,4,4,5,34,4.25,1
155,5,4,3,3,3,3,2,3,26,3.25,0
2665,4,3,4,4,4,3,3,5,30,3.75,1
2726,4,4,3,4,4,4,3,5,31,3.875,0
1556,4,4,5,4,4,4,4,5,34,4.25,0
1573,5,4,5,5,5,5,4,5,38,4.75,1
900,3,4,3,3,3,3,3,5,27,3.375,0
1636,4,4,4,3,3,4,3,5,30,3.75,1
675,4,3,4,3,4,3,4,4,29,3.625,1
2008,5,3,3,3,3,3,3,4,27,3.375,0
1930,5,4,5,5,5,5,4,5,38,4.75,1
1060,4,3,2,4,3,4,3,5,28,3.5,0
2865,5,5,5,5,5,5,5,5,40,5.0,0
2952,4,3,3,3,3,3,3,5,27,3.375,1
2488,4,4,3,4,4,4,4,5,32,4.0,0
2747,5,3,3,4,5,3,3,3,29,3.625,1
964,5,3,4,4,4,4,3,5,32,4.0,0
536,3,4,3,3,3,3,3,5,27,3.375,0
2725,3,3,3,3,3,2,2,4,23,2.875,0
2652,5,5,5,5,5,5,3,5,38,4.75,1
443,4,3,4,3,4,3,3,4,28,3.5,1
2899,4,4,3,3,3,3,3,5,28,3.5,1
1682,5,5,5,5,5,5,4,5,39,4.875,1
2338,3,4,3,3,3,3,3,5,27,3.375,0
520,5,5,5,5,5,4,5,5,39,4.875,1
144,5,4,4,4,5,4,5,5,36,4.5,0
447,4,3,3,3,3,3,2,5,26,3.25,1
475,5,4,4,4,4,4,3,5,33,4.125,1
2608,4,3,2,3,2,2,3,5,24,3.0,1
1813,4,5,4,5,5,5,5,5,38,4.75,1
1535,4,3,4,3,4,3,3,4,28,3.5,1
2294,5,3,3,3,3,3,2,5,27,3.375,1
2253,4,4,4,4,3,4,4,5,32,4.0,1
945,5,3,3,4,5,3,3,3,29,3.625,1
1180,5,5,5,5,5,5,4,5,39,4.875,1
1568,5,5,4,4,5,4,4,5,36,4.5,1
1529,4,4,4,4,3,4,3,4,30,3.75,1
2501,5,5,5,5,5,5,5,5,40,5.0,0
1443,4,4,4,4,4,4,4,4,32,4.0,1
2781,4,3,3,3,3,3,3,5,27,3.375,1
1383,5,5,4,4,5,4,5,3,35,4.375,0
1452,4,3,3,4,3,3,3,5,28,3.5,0
388,5,5,5,5,5,4,4,4,37,4.625,1
362,4,4,4,3,3,4,3,5,30,3.75,1
870,4,3,4,4,3,4,4,5,31,3.875,0
2580,5,5,5,5,5,5,4,5,39,4.875,1
434,3,4,3,4,3,4,3,5,29,3.625,1
1368,3,3,3,3,3,3,3,5,26,3.25,0
119,5,4,5,5,5,4,4,4,36,4.5,1
2391,4,3,4,3,4,3,3,5,29,3.625,0
620,3,4,4,4,3,4,3,5,30,3.75,1
1256,3,2,3,3,3,3,3,5,25,3.125,0
39,5,5,5,5,5,4,4,5,38,4.75,1
713,4,3,3,3,3,3,3,5,27,3.375,1
872,5,4,4,4,5,4,5,5,36,4.5,0
2246,4,4,3,4,3,4,3,5,30,3.75,0
